Date,Open,High,Low,Close,Adj Close,Volume

2007-09-17,6898.00,6977.20,6843.00,6897.10,6897.02,0
2007-09-18,6921.15,7078.95,6883.60,7059.65,7059.57,0
2007-09-19,7111.00,7419.35,7111.00,7401.85,7401.76,0
2007-09-20,7404.95,7462.90,7343.60,7390.15,7390.06,0
2007-09-21,7378.30,7506.35,7367.15,7464.50,7464.41,0
2007-09-24,7514.40,7661.05,7514.40,7650.90,7650.81,0
2007-09-25,7658.50,7694.25,7490.20,7629.15,7629.06,0
2007-09-26,7647.10,7829.85,7591.80,7755.90,7755.81,0
2007-09-27,7804.55,7866.50,7747.10,7833.65,7833.56,0
2007-09-28,7838.25,8082.85,7836.05,8042.20,8042.11,0
2007-10-01,8008.55,8085.15,7913.30,7987.50,7987.41,0
2007-10-03,8029.80,8235.80,7820.25,8097.90,8097.81,0
2007-10-04,8083.30,8086.70,7828.65,8035.90,8035.81,0
2007-10-05,8038.10,8066.55,7789.70,7845.25,7845.16,0
2007-10-08,7853.15,7935.45,7516.45,7626.40,7626.31,0
2007-10-09,7580.90,7916.45,7535.05,7895.85,7895.76,0
2007-10-10,7960.65,8081.05,7907.35,8030.65,8030.56,0
2007-10-11,8054.30,8177.75,8005.50,8158.80,8158.71,0
2007-10-12,8093.65,8132.10,7889.80,7934.00,7933.91,0
2007-10-15,7962.55,8306.35,7962.55,8286.30,8286.20,0
2007-10-16,8361.40,8491.65,8240.30,8452.20,8452.10,0
2007-10-17,8071.55,8218.10,7641.50,8099.90,8099.81,0
2007-10-18,8055.15,8192.45,7519.70,7608.75,7608.66,0
2007-10-19,7637.40,7718.90,7279.30,7423.80,7423.71,0
2007-10-22,7374.35,7621.65,7289.20,7568.00,7567.91,0
2007-10-23,7621.05,8118.75,7621.05,8101.10,8101.01,0
2007-10-24,8167.95,8276.65,8058.55,8228.65,8228.55,0
2007-10-25,8228.20,8528.25,8185.55,8428.65,8428.55,0
2007-10-26,8426.40,8804.90,8257.05,8749.90,8749.80,0
2007-10-29,8918.05,9122.35,8865.65,9000.75,9000.65,0
2007-10-30,9024.55,9237.80,8832.50,8934.15,8934.05,0
2007-10-31,8906.30,9116.80,8839.40,9013.15,9013.05,0
2007-11-01,9220.40,9358.00,9032.70,9198.60,9198.49,0
2007-11-02,8953.40,9610.70,8898.20,9560.70,9560.59,0
2007-11-05,9549.80,9692.50,9346.25,9397.55,9397.44,0
2007-11-06,9383.55,9550.65,9129.85,9216.30,9216.19,0
2007-11-07,9215.40,9388.05,9049.65,9090.20,9090.09,0
