Date,Open,High,Low,Close,Adj Close,Volume

2007-09-17,4518.45,4549.05,4482.85,4494.65,4494.65,0
2007-09-18,4494.10,4551.80,4481.55,4546.20,4546.20,0
2007-09-19,4550.25,4739.00,4550.25,4732.35,4732.35,0
2007-09-20,4734.85,4760.85,4721.15,4747.55,4747.55,0
2007-09-21,4752.95,4855.70,4733.70,4837.55,4837.55,0
2007-09-24,4837.15,4941.15,4837.15,4932.20,4932.20,0
2007-09-25,4939.10,4953.90,4878.15,4938.85,4938.85,0
2007-09-26,4937.60,4980.85,4930.35,4940.50,4940.50,0
2007-09-27,4942.70,5016.40,4942.70,5000.55,5000.55,0
2007-09-28,4996.45,5055.80,4996.45,5021.35,5021.35,0
2007-10-01,5021.50,5089.30,5001.35,5068.95,5068.95,0
2007-10-03,5069.00,5261.35,5034.15,5210.80,5210.80,0
2007-10-04,5211.65,5233.10,5126.05,5208.65,5208.65,0
2007-10-05,5208.15,5248.55,5164.50,5185.85,5185.85,0
2007-10-08,5186.25,5249.30,5024.75,5085.10,5085.10,0
2007-10-09,5062.65,5348.70,5000.95,5327.25,5327.25,0
2007-10-10,5328.15,5454.70,5328.15,5441.45,5441.45,0
2007-10-11,5438.90,5532.75,5424.25,5524.85,5524.85,0
2007-10-12,5525.30,5549.30,5402.60,5428.25,5428.25,0
2007-10-15,5428.35,5682.65,5419.90,5670.40,5670.40,0
2007-10-16,5670.65,5708.35,5578.45,5668.05,5668.05,0
2007-10-17,5658.90,5658.90,5107.30,5559.30,5559.30,0
2007-10-18,5551.10,5736.80,5269.65,5351.00,5351.00,0
2007-10-19,5360.35,5390.85,5101.75,5215.30,5215.30,0
2007-10-22,5202.75,5247.40,5070.90,5184.00,5184.00,0
2007-10-23,5185.30,5488.50,5176.85,5473.70,5473.70,0
2007-10-24,5477.60,5577.90,5419.40,5496.15,5496.15,0
2007-10-25,5499.05,5605.95,5469.30,5568.95,5568.95,0
2007-10-26,5564.25,5716.90,5513.35,5702.30,5702.30,0
2007-10-29,5708.90,5922.50,5708.90,5905.90,5905.90,0
2007-10-30,5917.55,5976.00,5833.90,5868.75,5868.75,0
2007-10-31,5868.90,5952.25,5861.30,5900.65,5900.65,0
2007-11-01,5903.80,6011.95,5837.20,5866.45,5866.45,0
2007-11-02,5854.85,5944.75,5714.25,5932.40,5932.40,0
2007-11-05,5931.90,5948.55,5819.60,5847.30,5847.30,0
2007-11-06,5847.10,5957.20,5759.95,5786.50,5786.50,0
2007-11-07,5782.40,5861.35,5744.30,5782.35,5782.35,0
2007-11-08,5779.30,5780.80,5646.75,5698.75,5698.75,0
2007-11-12,5660.60,5660.60,5477.50,5617.10,5617.10,0
2007-11-13,5612.35,5758.85,5591.60,5695.40,5695.40,0
2007-11-14,5703.95,5950.20,5700.05,5937.90,5937.90,0
2007-11-15,5942.70,5966.95,5895.65,5912.10,5912.10,0
2007-11-16,5913.15,5948.05,5817.40,5906.85,5906.85,0
2007-11-19,5908.05,5981.80,5893.80,5907.65,5907.65,0
2007-11-20,5911.25,5923.70,5755.80,5780.90,5780.90,0
2007-11-21,5778.80,5790.05,5530.85,5561.05,5561.05,0
2007-11-22,5564.65,5608.65,5394.35,5519.35,5519.35,0
2007-11-23,5524.30,5638.60,5514.75,5608.60,5608.60,0
2007-11-26,5611.30,5772.55,5608.95,5731.70,5731.70,0
2007-11-27,5729.25,5743.55,5655.60,5698.15,5698.15,0
2007-11-28,5699.55,5749.95,5595.50,5617.55,5617.55,0
2007-11-29,5617.80,5725.00,5612.10,5634.60,5634.60,0
2007-11-30,5633.90,5782.55,5632.65,5762.75,5762.75,0
2007-12-03,5765.45,5878.80,5754.60,5865.00,5865.00,0
2007-12-04,5870.20,5897.25,5840.30,5858.35,5858.35,0
2007-12-05,5861.90,5949.30,5859.95,5940.00,5940.00,0
2007-12-06,5941.05,6027.05,5919.80,5954.70,5954.70,0
2007-12-07,5963.60,6042.10,5894.80,5974.30,5974.30,0
2007-12-10,5974.00,6015.30,5923.35,5960.60,5960.60,0
2007-12-11,5960.40,6111.20,5960.40,6097.25,6097.25,0
2007-12-12,6067.05,6175.65,6005.45,6159.30,6159.30,0
2007-12-13,6159.25,6185.40,6040.40,6058.10,6058.10,0
2007-12-14,6056.20,6078.55,6015.05,6047.70,6047.70,0
2007-12-17,6037.95,6039.95,5740.60,5777.00,5777.00,0
2007-12-18,5777.60,5874.60,5710.60,5742.30,5742.30,0
2007-12-19,5730.25,5840.80,5676.70,5751.15,5751.15,0
2007-12-20,5751.75,5799.50,5742.75,5766.50,5766.50,0
2007-12-24,5771.30,6001.05,5771.30,5985.10,5985.10,0
2007-12-26,5988.45,6085.25,5988.45,6070.75,6070.75,0
2007-12-27,6069.00,6110.85,6060.20,6081.50,6081.50,0
2007-12-28,6079.55,6098.60,6021.90,6079.70,6079.70,0
2007-12-31,6095.00,6167.75,6095.00,6138.60,6138.60,0
2008-01-01,6136.75,6165.35,6109.85,6144.35,6144.35,0
2008-01-02,6144.70,6197.00,6060.85,6179.40,6179.40,0
2008-01-03,6184.25,6230.15,6126.40,6178.55,6178.55,0
2008-01-04,6179.10,6300.05,6179.10,6274.30,6274.30,0
2008-01-07,6271.00,6289.80,6193.35,6279.10,6279.10,0
2008-01-08,6282.45,6357.10,6221.60,6287.85,6287.85,0
2008-01-09,6287.55,6338.30,6231.25,6272.00,6272.00,0
2008-01-10,6278.10,6347.00,6142.90,6156.95,6156.95,0
2008-01-11,6166.65,6224.20,6112.55,6200.10,6200.10,0
2008-01-14,6208.80,6244.15,6172.00,6206.80,6206.80,0
2008-01-15,6226.35,6260.45,6053.30,6074.25,6074.25,0
2008-01-16,6065.00,6065.00,5825.75,5935.75,5935.75,0
2008-01-17,5937.95,6013.15,5880.30,5913.20,5913.20,0
2008-01-18,5907.75,5908.75,5677.00,5705.30,5705.30,0
2008-01-21,5705.00,5705.00,4977.10,5208.80,5208.80,0
2008-01-22,5203.35,5203.35,4448.50,4899.30,4899.30,0
2008-01-23,4903.05,5328.05,4891.60,5203.40,5203.40,0
2008-01-24,5208.00,5357.20,4995.80,5033.45,5033.45,0
2008-01-25,5035.05,5399.25,5035.05,5383.35,5383.35,0
2008-01-28,5380.95,5380.95,5071.00,5274.10,5274.10,0
2008-01-29,5279.55,5391.60,5225.25,5280.80,5280.80,0
2008-01-30,5283.75,5314.30,5142.25,5167.60,5167.60,0
2008-01-31,5172.25,5251.65,5071.15,5137.45,5137.45,0
2008-02-01,5140.60,5339.95,5090.75,5317.25,5317.25,0
2008-02-04,5315.55,5545.20,5315.55,5463.50,5463.50,0
2008-02-05,5463.75,5500.60,5412.95,5483.90,5483.90,0
2008-02-06,5470.40,5470.40,5257.05,5322.55,5322.55,0
2008-02-07,5322.55,5344.60,5113.85,5133.25,5133.25,0
2008-02-08,5132.10,5173.85,5034.25,5120.35,5120.35,0
2008-02-11,5120.55,5126.40,4803.60,4857.00,4857.00,0
2008-02-12,4877.85,4949.60,4820.45,4838.25,4838.25,0
2008-02-13,4836.55,4986.55,4836.55,4929.45,4929.45,0
2008-02-14,4944.65,5220.25,4944.65,5202.00,5202.00,0
2008-02-15,5202.85,5315.40,5104.75,5302.90,5302.90,0
2008-02-18,5304.45,5348.60,5224.00,5276.90,5276.90,0
2008-02-19,5278.40,5368.45,5262.00,5280.80,5280.80,0
2008-02-20,5267.15,5267.15,5116.30,5154.45,5154.45,0
2008-02-21,5156.90,5241.35,5120.05,5191.80,5191.80,0
2008-02-22,5183.40,5184.00,5092.80,5110.75,5110.75,0
2008-02-25,5112.25,5212.35,5055.15,5200.70,5200.70,0
2008-02-26,5200.80,5281.20,5200.80,5270.05,5270.05,0
2008-02-27,5271.40,5368.15,5249.75,5268.40,5268.40,0
2008-02-28,5266.35,5302.85,5227.15,5285.10,5285.10,0
2008-02-29,5285.00,5290.80,5098.35,5223.50,5223.50,0
2008-03-03,5222.80,5222.80,4936.05,4953.00,4953.00,0
2008-03-04,4958.55,4976.70,4812.95,4864.25,4864.25,0
2008-03-05,4866.85,4936.75,4847.25,4921.40,4921.40,0
2008-03-07,4918.30,4918.30,4672.25,4771.60,4771.60,0
2008-03-10,4767.80,4814.95,4620.50,4800.40,4800.40,0
2008-03-11,4796.30,4888.50,4732.85,4865.90,4865.90,0
2008-03-12,4869.75,5019.20,4854.75,4872.00,4872.00,0
2008-03-13,4868.70,4868.80,4580.15,4623.60,4623.60,0
2008-03-14,4623.80,4758.95,4607.55,4745.80,4745.80,0
2008-03-17,4745.45,4745.45,4482.10,4503.10,4503.10,0
2008-03-18,4519.90,4617.95,4468.55,4533.00,4533.00,0
2008-03-19,4534.75,4718.40,4533.90,4573.95,4573.95,0
2008-03-24,4576.80,4649.45,4539.80,4609.85,4609.85,0
2008-03-25,4616.80,4896.80,4616.80,4877.50,4877.50,0
2008-03-26,4878.70,4912.30,4808.65,4828.85,4828.85,0
2008-03-27,4828.80,4863.75,4769.60,4830.25,4830.25,0
2008-03-28,4830.00,4970.80,4796.35,4942.00,4942.00,0
2008-03-31,4942.15,4947.00,4703.85,4734.50,4734.50,0
2008-04-01,4735.65,4800.75,4628.75,4739.55,4739.55,0
2008-04-02,4741.40,4916.75,4741.40,4754.20,4754.20,0
2008-04-03,4753.90,4833.25,4738.20,4771.60,4771.60,0
2008-04-04,4766.70,4791.70,4632.70,4647.00,4647.00,0
2008-04-07,4631.35,4798.55,4628.80,4761.20,4761.20,0
2008-04-08,4760.65,4769.55,4677.80,4709.65,4709.65,0
2008-04-09,4707.05,4758.25,4667.50,4747.05,4747.05,0
2008-04-10,4747.55,4799.50,4720.90,4733.00,4733.00,0
2008-04-11,4734.35,4817.40,4727.25,4777.80,4777.80,0
2008-04-15,4779.95,4917.10,4708.30,4879.65,4879.65,0
2008-04-16,4881.65,4951.40,4874.05,4887.30,4887.30,0
2008-04-17,4890.60,4984.95,4889.65,4958.40,4958.40,0
2008-04-21,4955.90,5053.40,4955.90,5037.00,5037.00,0
2008-04-22,5037.05,5074.25,4994.05,5049.30,5049.30,0
2008-04-23,5044.35,5083.50,5003.55,5022.80,5022.80,0
2008-04-24,5022.90,5072.70,4991.35,4999.85,4999.85,0
2008-04-25,4999.15,5117.70,4999.15,5111.70,5111.70,0
2008-04-28,5112.50,5147.45,5079.15,5089.65,5089.65,0
2008-04-29,5092.40,5210.90,5082.15,5195.50,5195.50,0
2008-04-30,5198.35,5230.75,5155.85,5165.90,5165.90,0
2008-05-02,5265.30,5298.85,5197.60,5228.20,5228.20,0
2008-05-05,5227.25,5254.50,5182.60,5192.25,5192.25,0
2008-05-06,5192.35,5206.50,5110.90,5144.65,5144.65,0
2008-05-07,5156.70,5159.05,5101.25,5135.50,5135.50,0
2008-05-08,5135.80,5143.05,5062.45,5081.70,5081.70,0
2008-05-09,5070.85,5087.65,4969.40,4982.60,4982.60,0
2008-05-12,4981.00,5021.75,4913.80,5012.65,5012.65,0
2008-05-13,5008.60,5066.00,4943.75,4957.80,4957.80,0
2008-05-14,4958.45,5026.10,4932.05,5011.75,5011.75,0
2008-05-15,5010.90,5118.55,4999.60,5115.25,5115.25,0
2008-05-16,5115.65,5167.40,5106.40,5157.70,5157.70,0
2008-05-20,5157.00,5160.05,5072.40,5104.95,5104.95,0
2008-05-21,5105.70,5135.55,5048.70,5117.65,5117.65,0
2008-05-22,5117.00,5118.90,5010.70,5025.45,5025.45,0
2008-05-23,5026.55,5059.05,4940.70,4946.55,4946.55,0
2008-05-26,4953.60,4953.60,4858.00,4875.05,4875.05,0
2008-05-27,4877.15,4932.00,4846.20,4859.80,4859.80,0
2008-05-28,4862.70,4926.90,4835.65,4918.35,4918.35,0
2008-05-29,4926.30,4957.40,4801.90,4835.30,4835.30,0
2008-05-30,4844.05,4908.85,4833.45,4870.10,4870.10,0
2008-06-02,4869.25,4908.80,4713.00,4739.60,4739.60,0
2008-06-03,4739.30,4739.30,4634.00,4715.90,4715.90,0
2008-06-04,4718.70,4731.50,4564.50,4585.60,4585.60,0
2008-06-05,4586.95,4690.60,4536.25,4676.95,4676.95,0
2008-06-06,4680.55,4746.30,4614.25,4627.80,4627.80,0
2008-06-09,4626.45,4626.45,4411.60,4500.95,4500.95,0
2008-06-10,4522.00,4522.55,4369.80,4449.80,4449.80,0
2008-06-11,4469.65,4541.05,4468.05,4523.60,4523.60,0
2008-06-12,4524.40,4550.00,4392.00,4539.35,4539.35,0
2008-06-13,4539.50,4563.35,4491.35,4517.10,4517.10,0
2008-06-16,4536.30,4617.70,4536.30,4572.50,4572.50,0
2008-06-17,4572.50,4664.05,4561.75,4653.00,4653.00,0
2008-06-18,4652.80,4679.75,4569.90,4582.40,4582.40,0
2008-06-19,4582.55,4585.70,4488.95,4504.25,4504.25,0
2008-06-20,4504.20,4532.00,4333.60,4347.55,4347.55,0
2008-06-23,4351.15,4351.15,4225.50,4266.40,4266.40,0
2008-06-24,4271.05,4305.90,4156.10,4191.10,4191.10,0
2008-06-25,4189.60,4264.55,4093.20,4252.65,4252.65,0
2008-06-26,4252.60,4324.75,4230.00,4315.85,4315.85,0
2008-06-27,4315.30,4315.30,4119.20,4136.65,4136.65,0
2008-06-30,4136.25,4163.00,4021.70,4040.55,4040.55,0
2008-07-01,4039.75,4075.40,3878.20,3896.75,3896.75,0
2008-07-02,3895.30,4107.15,3848.25,4093.35,4093.35,0
2008-07-03,4094.60,4097.35,3874.85,3925.75,3925.75,0
2008-07-04,3926.65,4033.50,3896.40,4016.00,4016.00,0
2008-07-07,4002.00,4114.50,4002.00,4030.00,4030.00,0
2008-07-08,4028.70,4028.70,3896.05,3988.55,3988.55,0
2008-07-09,3990.90,4169.40,3990.90,4157.10,4157.10,0
2008-07-10,4155.65,4187.95,4110.40,4162.20,4162.20,0
2008-07-11,4166.00,4215.50,4014.45,4049.00,4049.00,0
2008-07-14,4047.45,4118.10,4004.25,4039.70,4039.70,0
2008-07-15,4039.30,4040.70,3835.50,3861.10,3861.10,0
2008-07-16,3861.55,3920.05,3790.20,3816.70,3816.70,0
2008-07-17,3823.15,3968.75,3823.15,3947.20,3947.20,0
2008-07-18,3962.95,4110.55,3926.30,4092.25,4092.25,0
2008-07-21,4092.20,4168.15,4072.75,4159.50,4159.50,0
2008-07-22,4158.45,4262.45,4137.95,4240.10,4240.10,0
2008-07-23,4246.70,4491.55,4246.70,4476.80,4476.80,0
2008-07-24,4476.20,4539.45,4385.85,4433.55,4433.55,0
2008-07-25,4440.85,4440.85,4297.15,4311.85,4311.85,0
2008-07-28,4282.25,4352.65,4282.25,4332.10,4332.10,0
2008-07-29,4332.20,4332.20,4159.15,4189.85,4189.85,0
2008-07-30,4191.20,4327.00,4191.20,4313.55,4313.55,0
2008-07-31,4314.35,4342.00,4285.55,4332.95,4332.95,0
2008-08-01,4331.60,4422.95,4235.70,4413.55,4413.55,0
2008-08-04,4426.10,4436.15,4362.90,4395.35,4395.35,0
2008-08-05,4395.80,4515.15,4376.00,4502.85,4502.85,0
2008-08-06,4506.25,4615.90,4503.90,4517.55,4517.55,0
2008-08-07,4515.25,4580.15,4493.70,4523.85,4523.85,0
2008-08-08,4518.35,4546.35,4464.00,4529.50,4529.50,0
2008-08-11,4529.35,4625.20,4529.35,4620.40,4620.40,0
2008-08-12,4620.95,4649.85,4525.75,4552.25,4552.25,0
2008-08-13,4548.05,4572.65,4497.25,4529.05,4529.05,0
2008-08-14,4524.20,4529.80,4421.25,4430.70,4430.70,0
2008-08-18,4430.70,4447.40,4379.85,4393.05,4393.05,0
2008-08-19,4393.10,4393.70,4316.55,4368.25,4368.25,0
2008-08-20,4365.45,4434.90,4365.45,4415.75,4415.75,0
2008-08-21,4416.20,4418.55,4271.30,4283.85,4283.85,0
2008-08-22,4283.85,4337.00,4248.00,4327.45,4327.45,0
2008-08-25,4317.95,4398.80,4317.95,4335.35,4335.35,0
2008-08-26,4335.20,4345.05,4283.30,4337.50,4337.50,0
2008-08-27,4336.85,4364.25,4282.65,4292.10,4292.10,0
2008-08-28,4290.75,4304.50,4201.85,4214.00,4214.00,0
2008-08-29,4230.60,4368.80,4230.60,4360.00,4360.00,0
2008-09-01,4356.10,4365.00,4281.35,4348.65,4348.65,0
2008-09-02,4358.85,4522.40,4343.10,4504.00,4504.00,0
2008-09-04,4512.95,4514.60,4419.45,4447.75,4447.75,0
2008-09-05,4444.70,4444.70,4328.90,4352.30,4352.30,0
2008-09-08,4358.30,4558.00,4358.30,4482.30,4482.30,0
2008-09-09,4485.15,4497.50,4418.95,4468.70,4468.70,0
2008-09-10,4467.50,4467.50,4382.35,4400.25,4400.25,0
2008-09-11,4397.25,4399.30,4272.75,4290.30,4290.30,0
2008-09-12,4291.60,4323.90,4200.15,4228.45,4228.45,0
2008-09-15,4231.95,4237.25,3955.40,4072.90,4072.90,0
2008-09-16,4072.55,4090.10,3919.35,4074.90,4074.90,0
2008-09-17,4074.80,4116.70,3974.60,4008.25,4008.25,0
2008-09-18,4005.25,4050.10,3799.55,4038.15,4038.15,0
2008-09-19,4040.80,4262.65,4040.80,4245.25,4245.25,0
2008-09-22,4248.95,4303.25,4202.40,4223.05,4223.05,0
2008-09-23,4223.90,4224.70,4117.90,4126.90,4126.90,0
2008-09-24,4125.75,4207.95,4115.85,4161.25,4161.25,0
2008-09-25,4162.15,4172.60,4077.50,4110.55,4110.55,0
2008-09-26,4108.75,4110.70,3970.35,3985.25,3985.25,0
2008-09-29,3990.20,3997.55,3777.30,3850.05,3850.05,0
2008-09-30,3848.70,3966.85,3715.05,3921.20,3921.20,0
2008-10-01,3921.85,4000.50,3861.25,3950.75,3950.75,0
